driverId,week,hours-logged,miles-logged
133,24,69,200
36,35,74,1100
806,39,78,300
555,6,77,600
723,40,76,500
635,5,79,1100
320,19,56,3200
611,3,52,2100
823,42,57,1700
602,5,65,3300
120,20,51,100
313,22,50,500
166,14,51,3300
254,41,64,2600
374,3,80,1600
992,16,58,3600
470,19,56,2900
524,32,80,300
497,17,66,3300
161,23,52,2000
901,39,56,1000
779,41,79,2600
237,30,76,2400
511,35,68,3900
477,8,65,100
362,22,58,1800
246,48,57,2700
107,16,79,2800
361,42,63,3300
894,18,62,500
298,49,67,700
901,5,80,600
706,52,62,1000
580,18,61,3000
444,31,75,1000
847,32,55,1000
255,1,76,1400
875,46,74,3100
704,3,74,3300
529,51,78,300
604,7,64,200
747,48,56,1000
356,16,56,2300
856,8,52,2100
480,43,64,1500
730,18,76,3100
123,45,54,0
18,11,76,1600
290,14,75,900
255,9,53,2800
764,24,71,1400
733,32,76,2000
894,4,78,2500
766,7,52,900
374,8,70,700
598,26,69,3700
844,13,65,1900
104,7,51,4000
596,7,51,1600
420,18,60,3500
68,34,66,1700
134,31,59,2700
759,1,74,1000
895,45,76,1000
309,52,70,200
928,22,50,3800
502,24,74,2900
594,9,76,3400
475,42,74,200
895,17,77,1600
691,10,71,0
197,34,66,1700
797,50,80,800
776,20,63,1300
833,33,52,2200
42,52,53,2200
132,21,53,3200
790,39,56,3500
325,20,74,1900
344,52,52,3800
1000,48,51,3700
380,1,52,2000
796,40,65,300
198,48,60,1200
133,6,62,200
873,46,63,300
857,40,72,1600
813,2,67,2600
382,17,71,1100
883,29,79,200
21,5,68,3700
320,33,72,2500
921,15,50,3200
303,46,62,1800
376,6,67,1400
754,6,51,3300
240,52,72,3600
307,21,78,3400
172,24,60,900
138,25,51,1000
95,5,68,1200
43,50,72,2200
209,31,53,2300
763,30,58,1700
930,38,58,400
261,14,51,3200
767,37,56,200
191,35,59,3100
879,5,75,2300
911,34,70,1800
997,31,77,1900
993,33,66,2500
872,9,51,2300
623,19,68,1300
970,41,75,500
643,42,68,2300
319,25,70,3200
118,30,68,2800
378,19,53,400
901,33,52,3500
774,1,50,3600
263,4,80,3600
147,21,59,2500
786,29,72,3000
56,24,73,1900
325,7,69,4000
394,3,68,1200
974,21,63,1500
214,26,68,700
41,43,53,300
917,4,56,300
760,34,53,3200
567,8,77,1400
599,51,55,2000
275,6,65,1000
894,17,77,3100
550,16,55,2000
917,1,80,2700
630,23,67,1300
279,50,68,1300
548,50,67,3500
339,8,64,1300
328,35,75,1400
186,36,58,1300
681,7,64,700
318,15,76,400
18,44,60,700
341,10,78,2600
504,14,70,3500
643,14,64,4000
37,38,73,0
468,12,79,3200
372,4,76,1100
585,10,62,200
115,28,60,500
233,8,53,700
564,48,69,2800
943,31,55,1200
637,43,50,3400
125,29,58,2800
246,16,60,3400
387,34,55,2200
195,30,58,2400
32,13,56,500
940,12,59,3800
455,25,71,2300
663,7,66,200
173,26,56,1500
517,8,56,3100
1008,48,65,4000
243,42,76,3400
979,16,50,700
410,38,51,3100
176,17,54,3700
541,15,63,3500
424,2,58,200
498,3,80,3400
756,30,65,3100
99,27,53,4000
694,50,76,1300
388,5,75,1400
995,25,66,2400
539,23,55,3200
547,6,63,300
749,47,80,100
477,45,62,3700
528,7,74,2200
174,46,59,1400
580,51,72,2900
69,16,68,600
463,45,61,1400
867,32,55,100
859,35,78,3400
266,11,80,3300
25,37,79,2600
585,19,60,2200
410,9,77,2100
986,5,64,3700
149,13,54,3800
535,45,71,3800
123,39,53,2100
897,5,52,1900
752,11,52,2100
281,15,53,2400
246,35,52,1700
308,24,52,3100
134,42,57,2800
229,46,66,3300
357,44,61,2800
884,42,72,800
760,46,61,1700
796,42,55,3900
566,4,73,3800
609,2,59,1000
732,51,53,900
272,26,70,2000
751,50,56,2800
155,51,55,3500
466,7,53,800
998,23,74,1000
82,23,51,2100
441,51,51,500
161,46,54,1100
34,12,50,1200
444,26,73,4000
691,10,57,3400
836,22,61,1800
765,28,68,2900
720,34,61,2200
88,18,69,3000
